product_id,product_name,description,category,price,color,size,brand,rating,review_count
1,Floral Print Maxi Dress,Elegant maxi dress with a vibrant floral pattern. Perfect for summer parties.,Dresses,89.99,"Blue,Pink"," S,M,L",Chic Couture,4.5,120
2,Striped Off-Shoulder Top,Casual off-shoulder top with classic black and white stripes.,Tops,34.99,"Black, White","XS,S,M,L",Style Haven,4.2,80
3,Skinny Jeans,High-rise skinny jeans in dark wash denim. Comfortable and stylish!,Bottoms,59.99,Indigo,S,Levi's,4,150
4,Lace Overlay Skirt,Feminine lace overlay skirt with a scalloped hem. Great for special occasions.,Skirts,49.99,Ivory,"S,M,L,XL",Belle Femme,4.8,200
5,Printed Palazzo Pants,Wide-leg palazzo pants with a colorful abstract print. Lightweight and breezy!,Bottoms,42.99,Multicolor,"S,M,L",Boho Vibes,4.3,100
6,Classic Denim Jacket,Timeless denim jacket with a faded wash and button-front closure.,Jackets,69.99,Denim Blue,"XS,S,M,L",Everyday Denim,4.7,180
7,Flowy Floral Blouse,Flowy blouse featuring a delicate floral print and tie-neck detail.,Tops,39.99,Floral Print,"S,M,L,XL",Flower Child,4.4,150
8,Knit Sweater Dress,Cozy knit sweater dress with a ribbed texture. Perfect for chilly days.,Dresses,54.99,Charcoal Gray,"S,M,L,XL",Cozy Chic,4.6,160
9,Cropped Cargo Pants,Cropped cargo pants with multiple pockets and adjustable drawstring cuffs.,Bottoms,49.99,Olive Green,"S,M,L",Utility Co.,4.1,120
10,Polka Dot Wrap Dress,Chic wrap dress featuring a classic polka dot print and tie-waist closure.,Dresses,79.99,"Black, White","XS,S,M,L,Xl",Polka Chic,4.5,200
11,Embroidered Denim Shorts,Denim shorts with intricate floral embroidery and frayed hem.,Shorts,29.99,Light Wash Blue,"S,M,L,XL",Summer Breeze,4.3,100
12,Printed Kimono,Lightweight kimono featuring a vibrant printed design. Adds a pop of color to any outfit!,Outerwear,44.99,Tropical Print,One Size,Festival Finds,4.2,90
13,Striped Linen Shirt,Breathable linen shirt with classic blue and white stripes. Perfect for casual wear.,Tops,29.99,"Blue, White","S,M,L,XL",Seaside Style,4.6,140
14,Floral Embroidered Blouse,Bohemian-style blouse featuring intricate floral embroidery and tassel ties.,Tops,49.99,Off White,"S,M,L",Free Spirit,4.4,160
15,High-Waisted Wide-Leg Pants,Flowy wide-leg pants with a flattering high-waisted silhouette.,Bottoms,39.99,Black,"S,M,L,XL",Urban Elegance,4.5,180
16,Button-Front Midi Skirt,Chic midi skirt with a button-front closure and tie-waist detail.,Skirts,34.99,Navy Blue,"S,M,L",Classic Chic,4.3,130
17,Ribbed Knit Crop Top,Cropped knit top with a ribbed texture and scoop neckline. Perfect for layering!,Tops,24.99,Charcoal Gray,"S,M,L",Everyday Basics,4.1,100
18,Camo Print Utility Jacket,Stylish utility jacket featuring a trendy camo print and multiple pockets.,Jackets,79.99,Camo Print,"S,M,L,XL",Adventure Gear,4.7,200
